state,year,white,black,native,asian,hispanic,male,female,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
HI,2014,307713,35251,3604,932744,137037,711442,704907,18634,73536,86393,82224,79631,102099,103714,100221,88438,87595,87843,94558,94954,89030,74792,51562,35143,28876,37106
PA,2006,10251323,1337422,20354,318470,583240,6081497,6429312,144516,576959,746070,838105,917397,828158,752467,708505,834948,929004,994997,919683,824281,602770,481727,419774,399346,317038,275064
MO,2012,4915792,731118,31647,121766,225092,2953715,3071700,74658,306130,391109,394448,403720,430068,400527,391425,352331,379917,407365,447584,410716,352281,279843,207229,156571,119336,120157
MN,2014,4499654,344700,66362,266347,276046,2711278,2741831,70133,279838,361659,357909,355384,366194,365834,380917,336118,332271,352244,404124,383996,326646,250406,181335,132036,99602,116463
MI,2014,7617133,1450747,69831,303585,474471,4872924,5042843,114362,460154,605267,644180,677334,736064,610438,591921,566394,621744,657135,735660,731797,633562,505765,366860,257630,189584,209916
HI,2004,277149,29291,3455,866278,97396,636705,636864,18136,63807,77604,88085,83420,95485,84549,84611,87117,95309,95879,92359,79165,57576,44594,40201,37166,26917,21589
NE,2014,1529649,98206,17011,44484,191795,936546,944599,26494,104608,133100,128973,127695,137785,123653,129670,114317,110679,110331,128313,124876,109567,84777,60849,46933,36871,41654
AR,2002,2126092,428236,19219,26686,105694,1322688,1383239,37217,145493,182837,195632,194395,195427,170896,177053,189601,199600,191230,174804,151659,124812,106576,91686,76630,54113,46266
WV,2000,1720099,60410,3572,10593,12347,878752,928269,20292,81047,110195,116184,125735,120617,112230,115098,128850,142357,141705,130175,99344,86132,75639,72491,58859,38116,31955
ME,2006,1270709,15328,9062,13435,15085,647462,676157,14012,56811,75533,85366,94177,80392,70538,73229,89742,104183,111597,105294,97310,70988,53867,45480,39453,29343,26304
NJ,2004,5529745,1162766,15978,621321,1304751,4197597,4436964,114609,454569,574101,622552,571069,507651,527910,595797,667565,728970,682993,582215,502481,382779,295841,261919,235328,179372,146840
DC,2000,162567,345917,1593,16703,45266,269403,302643,6577,25744,34997,30137,37829,52303,52579,48832,45754,41785,39542,36283,27909,22011,18439,17328,14992,10047,8958
FL,2010,11067172,2963723,54353,511389,4252461,9213907,9635191,207939,863583,1079212,1131082,1221111,1240141,1184681,1116754,1172547,1253025,1398742,1346891,1210310,1143156,965513,774179,616598,484764,438870
AL,2008,3226007,1246295,27526,54669,163709,2287949,2430257,63816,241026,306682,319503,345580,328751,311504,287272,313869,318765,348148,340006,301833,254507,198122,156112,121862,88254,72594
